p60,p70,p80,p90,p100,Comment,Doctype,NavigableString,ProcessingInstruction,Script,Stylesheet,Tag,length,is_text
3.0,12.0,17.0,20.0,72.0,2.0,0.0,453.0,0.0,0.0,0.0,525.0,3444.0,0.0
6.0,8.0,10.0,19.0,72.0,2.0,0.0,124.0,0.0,0.0,0.0,130.0,890.0,0.0
41.0,1652.6999999999994,17754.4,22407.7,27295.0,0.0,0.0,42.0,0.0,0.0,0.0,64.0,256548.0,1.0
3.0,7.0,10.0,21.19999999999999,155.0,2.0,0.0,188.0,0.0,0.0,0.0,209.0,1836.0,0.0
933.8000000000004,3197.2999999999925,6877.200000000003,9739.2,17720.0,0.0,0.0,128.0,0.0,0.0,0.0,174.0,363085.0,1.0
65.0,8341.5,14010.0,18712.5,30069.0,0.0,0.0,106.0,0.0,0.0,0.0,144.0,580967.0,1.0
38.99999999999999,1204.8,35407.8,41620.70000000001,69556.0,0.0,0.0,48.0,0.0,0.0,0.0,71.0,592988.0,1.0
10.0,11.0,13.0,15.0,758.0,23.0,0.0,1971.0,0.0,0.0,0.0,1278.0,20338.0,0.0
6.0,7.0,9.0,18.0,67.0,13.0,0.0,240.0,0.0,0.0,0.0,188.0,1459.0,0.0
6.0,8.0,11.0,20.0,72.0,2.0,0.0,137.0,0.0,0.0,0.0,147.0,1034.0,0.0
13.6,17.79999999999999,29.0,156.60000000000008,17122.0,0.0,0.0,17.0,0.0,0.0,0.0,24.0,17645.0,1.0
9.599999999999996,16.59999999999999,24.40000000000001,35.00000000000001,47.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,96.0,1.0
8.0,10.0,11.0,14.0,302.0,19.0,0.0,6766.0,0.0,1.0,0.0,3744.0,62247.0,0.0
6.0,9.0,11.0,19.40000000000001,82.0,2.0,0.0,145.0,0.0,0.0,0.0,162.0,1106.0,0.0
78.59999999999997,10733.7,13900.2,16758.7,32509.0,0.0,0.0,90.0,0.0,0.0,0.0,132.0,511374.0,1.0
37.39999999999998,8001.399999999992,19438.00000000001,24978.6,33333.0,0.0,0.0,42.0,0.0,0.0,0.0,62.0,286158.0,1.0
